,Gender,Race,Year,pct,CrimeType,Arrested,Frisked,Searched,HandCuff,PepperSpray,Firearm,Other,CEW,Stopped,Verbal,Summons
8149,Male,Black,2005,17,Other,0,0,0,0,0,0,0,0,2,0,0
8150,Male,Hispanic,2005,17,Other,0,0,0,0,0,0,0,0,1,0,0
8151,Unknown,Other,2005,17,Other,0,0,0,0,0,0,0,0,1,0,0
8152,Female,White,2005,17,Other,0,0,0,0,0,0,0,0,1,0,1
8153,Male,White,2005,17,Other,0,0,0,0,0,0,0,0,3,0,0
15478,Male,Black,2005,17,Substance,1,0,0,0,0,0,0,0,1,0,0
15479,Male,Hispanic,2005,17,Substance,0,0,0,0,0,0,0,0,1,0,0
15480,Male,White,2005,17,Substance,0,0,0,0,0,0,0,0,1,0,0
22922,Female,Black,2005,17,Theft,0,0,0,0,0,0,0,0,1,0,0
22923,Male,Black,2005,17,Theft,0,1,0,1,0,1,2,0,16,0,0
22924,Male,Hispanic,2005,17,Theft,0,1,0,0,0,0,1,0,5,0,0
22925,Female,Other,2005,17,Theft,0,0,0,0,0,0,0,0,1,0,0
22926,Male,Other,2005,17,Theft,0,0,0,0,0,0,0,0,6,0,1
22927,Female,White,2005,17,Theft,0,0,0,0,0,0,0,0,2,0,0
22928,Male,White,2005,17,Theft,0,3,0,2,0,0,3,0,20,0,1
32461,Male,Hispanic,2005,17,Tresspass,0,0,0,0,0,0,0,0,1,0,0
39509,Male,Black,2005,17,Weapon,0,1,1,0,0,0,0,0,1,0,0
39510,Male,Hispanic,2005,17,Weapon,1,1,1,0,0,0,0,0,2,0,0
39511,Unknown,Other,2005,17,Weapon,0,0,0,0,0,0,0,0,2,0,0
39512,Female,White,2005,17,Weapon,0,0,0,0,0,0,0,0,1,0,0
39513,Male,White,2005,17,Weapon,0,0,0,0,0,0,0,0,1,0,0
925,Male,Black,2005,18,Assault,0,1,0,1,0,0,0,0,2,0,0
926,Male,Other,2005,18,Assault,0,1,0,1,0,0,0,0,1,0,0
8241,Male,Black,2005,18,Other,0,0,0,0,0,0,0,0,5,0,0
8242,Male,White,2005,18,Other,0,0,0,0,0,0,0,0,2,0,0
15560,Male,Black,2005,18,Substance,0,1,0,0,0,0,0,0,2,0,0
15561,Male,Hispanic,2005,18,Substance,0,0,0,0,0,0,0,0,1,0,0
15562,Male,White,2005,18,Substance,0,1,0,0,0,0,0,0,1,0,0
23052,Female,Black,2005,18,Theft,0,0,0,0,0,0,0,0,2,0,0
23053,Male,Black,2005,18,Theft,0,1,0,0,0,0,0,0,6,0,0
23054,Male,Hispanic,2005,18,Theft,0,1,0,0,0,0,0,0,3,0,0
23055,Male,Other,2005,18,Theft,0,0,0,0,0,0,0,0,1,0,0
23056,Unknown,Other,2005,18,Theft,0,0,0,0,0,0,0,0,1,0,0
23057,Female,White,2005,18,Theft,0,0,0,0,0,0,0,0,1,0,0
23058,Male,White,2005,18,Theft,0,1,0,0,0,0,0,0,5,0,0
39596,Male,Black,2005,18,Weapon,0,4,0,0,0,3,6,0,7,0,1
39597,Female,Hispanic,2005,18,Weapon,0,0,0,0,0,0,0,0,3,0,0
39598,Male,Hispanic,2005,18,Weapon,0,8,0,0,0,0,2,0,8,0,0
39599,Female,Other,2005,18,Weapon,0,0,0,0,0,0,0,0,1,0,0
39600,Male,Other,2005,18,Weapon,0,0,0,0,0,0,1,0,3,0,0
39601,Unknown,Other,2005,18,Weapon,0,1,1,0,0,0,0,0,1,0,0
39602,Female,White,2005,18,Weapon,0,0,0,0,0,0,0,0,1,0,0
39603,Male,White,2005,18,Weapon,0,9,1,0,0,0,1,0,11,0,0
8350,Male,Hispanic,2005,19,Other,0,1,0,0,0,0,0,0,2,0,0
23179,Male,Black,2005,19,Theft,0,2,0,0,0,0,0,0,3,0,0
23180,Male,Hispanic,2005,19,Theft,0,0,0,0,0,0,0,0,1,0,0
23181,Unknown,Other,2005,19,Theft,0,0,0,0,0,0,0,0,1,0,0
32599,Female,Black,2005,19,Tresspass,0,0,0,0,0,0,0,0,1,0,0
32600,Male,Black,2005,19,Tresspass,0,0,0,0,0,0,1,0,3,0,0
32601,Male,Hispanic,2005,19,Tresspass,0,1,0,0,0,0,1,0,2,0,0
32602,Male,White,2005,19,Tresspass,0,0,0,0,0,0,0,0,1,0,1
39702,Male,White,2005,19,Weapon,0,1,0,0,0,0,0,0,1,0,0
1137,Female,Black,2005,20,Assault,0,0,0,0,0,0,3,0,3,0,0
1138,Male,Black,2005,20,Assault,0,0,0,0,0,0,0,0,1,0,0
1139,Unknown,Black,2005,20,Assault,0,0,0,0,0,0,1,0,1,0,0
1140,Female,Hispanic,2005,20,Assault,0,1,0,0,0,0,0,0,1,0,0
1141,Male,Hispanic,2005,20,Assault,0,3,0,0,0,0,0,0,5,0,1
1142,Unknown,Hispanic,2005,20,Assault,0,1,1,0,0,0,1,0,1,0,0
1143,Unknown,Other,2005,20,Assault,0,2,2,0,0,0,3,0,3,0,0
1144,Female,White,2005,20,Assault,0,0,0,0,0,0,0,0,2,0,0
1145,Male,White,2005,20,Assault,0,1,0,0,0,0,0,0,2,0,0
8463,Male,Black,2005,20,Other,1,1,1,1,0,0,1,0,2,0,0
8464,Female,Hispanic,2005,20,Other,0,0,0,0,0,0,0,0,1,0,0
8465,Male,Hispanic,2005,20,Other,0,0,0,0,0,0,0,0,3,0,0
8466,Male,Other,2005,20,Other,0,0,0,0,0,0,0,0,2,0,0
8467,Female,White,2005,20,Other,0,0,0,0,0,0,0,0,6,0,0
8468,Male,White,2005,20,Other,0,0,0,0,0,0,0,0,2,0,0
15726,Male,Black,2005,20,Substance,0,0,0,0,0,0,0,0,1,0,0
23321,Female,Black,2005,20,Theft,0,0,0,0,0,0,1,0,2,0,1
23322,Male,Black,2005,20,Theft,1,9,2,1,0,0,3,0,34,0,1
23323,Unknown,Black,2005,20,Theft,0,0,0,0,0,0,0,0,2,0,0
23324,Female,Hispanic,2005,20,Theft,0,0,0,0,0,0,0,0,3,0,0
23325,Male,Hispanic,2005,20,Theft,0,4,1,0,0,0,1,0,21,0,1
23326,Male,Other,2005,20,Theft,0,2,0,0,0,0,0,0,5,0,0
23327,Unknown,Other,2005,20,Theft,0,2,0,0,0,0,1,0,9,0,0
23328,Female,White,2005,20,Theft,0,0,0,0,0,0,0,0,3,0,2
23329,Male,White,2005,20,Theft,0,3,0,1,0,0,0,0,38,0,2
23330,Unknown,White,2005,20,Theft,0,0,0,0,0,0,0,0,1,0,0
32706,Male,Black,2005,20,Tresspass,0,0,0,0,0,0,0,0,6,0,0
32707,Female,Hispanic,2005,20,Tresspass,0,0,0,0,0,0,0,0,1,0,0
32708,Male,Hispanic,2005,20,Tresspass,0,0,0,0,0,0,0,0,4,0,0
32709,Unknown,Other,2005,20,Tresspass,0,0,0,0,0,0,0,0,1,0,0
32710,Male,White,2005,20,Tresspass,1,1,2,0,0,0,0,0,4,0,0
39805,Male,Black,2005,20,Weapon,0,3,0,0,0,0,2,0,3,0,0
39806,Female,Hispanic,2005,20,Weapon,0,0,0,0,0,0,0,0,1,0,0
39807,Male,Hispanic,2005,20,Weapon,0,1,0,0,0,0,1,0,2,0,0
39808,Male,White,2005,20,Weapon,0,2,1,1,0,1,1,0,2,0,0
1318,Male,Hispanic,2005,23,Assault,0,0,0,0,0,0,0,0,2,0,0
1319,Male,White,2005,23,Assault,0,0,0,0,0,0,0,0,1,0,0
8642,Female,Black,2005,23,Other,1,2,1,0,0,0,0,0,3,0,0
8643,Male,Black,2005,23,Other,1,3,1,0,0,0,0,0,3,0,0
8644,Male,Hispanic,2005,23,Other,0,1,0,0,0,0,0,0,1,0,0
8645,Female,Other,2005,23,Other,0,0,0,0,0,0,0,0,1,0,0
8646,Male,Other,2005,23,Other,0,1,0,0,0,0,0,0,1,0,0
15891,Male,Black,2005,23,Substance,1,10,2,3,0,0,1,0,14,0,3
15892,Male,Hispanic,2005,23,Substance,2,5,3,1,0,0,1,0,10,0,3
15893,Male,Other,2005,23,Substance,0,0,0,0,0,0,0,0,2,0,0
15894,Unknown,Other,2005,23,Substance,0,0,0,0,0,0,0,0,2,0,0
15895,Male,White,2005,23,Substance,1,1,1,1,0,0,0,0,2,0,1
23551,Male,Black,2005,23,Theft,0,6,1,0,0,1,1,0,12,0,0
23552,Male,Hispanic,2005,23,Theft,1,4,2,1,0,0,1,0,9,0,0
23553,Male,Other,2005,23,Theft,0,1,0,0,0,0,0,0,2,0,0
23554,Male,White,2005,23,Theft,0,0,0,0,0,0,0,0,1,0,0
32822,Female,Black,2005,23,Tresspass,1,1,1,0,0,0,2,0,12,0,0
32823,Male,Black,2005,23,Tresspass,9,16,9,4,0,0,22,0,78,0,6
32824,Female,Hispanic,2005,23,Tresspass,0,1,1,0,0,0,1,0,8,0,0
32825,Male,Hispanic,2005,23,Tresspass,9,15,11,8,1,0,13,0,50,0,1
32826,Male,White,2005,23,Tresspass,0,0,0,0,0,0,0,0,2,0,0
39964,Male,Black,2005,23,Weapon,0,22,1,0,0,3,12,0,24,0,3
39965,Male,Hispanic,2005,23,Weapon,2,13,2,1,0,1,8,0,18,0,3
39966,Unknown,Hispanic,2005,23,Weapon,0,2,0,0,0,0,2,0,2,0,0
39967,Male,Other,2005,23,Weapon,0,1,0,0,0,0,1,0,3,0,0
39968,Unknown,Other,2005,23,Weapon,0,3,1,0,0,0,2,0,4,0,1
39969,Male,White,2005,23,Weapon,0,1,0,0,0,0,0,0,1,0,0
8754,Male,Black,2005,24,Other,0,0,0,0,0,0,0,0,5,0,0
8755,Male,Hispanic,2005,24,Other,0,0,0,0,0,0,0,0,2,0,0
8756,Female,Other,2005,24,Other,0,0,0,0,0,0,0,0,0,0,0
8757,Male,White,2005,24,Other,0,0,0,0,0,0,0,0,1,0,0
16012,Female,Black,2005,24,Substance,1,1,0,1,0,0,1,0,1,0,0
16013,Male,Black,2005,24,Substance,0,0,0,0,0,0,0,0,1,0,0
16014,Male,Hispanic,2005,24,Substance,0,1,1,0,0,0,0,0,2,0,0
23688,Male,Black,2005,24,Theft,0,2,0,0,0,0,0,0,8,0,0
23689,Male,Hispanic,2005,24,Theft,0,1,0,0,0,0,0,0,3,0,1
23690,Male,Other,2005,24,Theft,0,0,0,0,0,0,0,0,1,0,0
